1	290847
2	292363
3	294499
4	292947
5	294738
6	292140
7	290339
8	295212
9	294329
10	293877
11	290791
12	292765
13	295660
14	293966
15	293427
16	293445
17	295014
18	294282
19	294021
20	296219
21	293145
22	293257
23	294570
24	291516
25	290886
26	290819
27	293130
28	292448
29	290711
30	293227
31	293312
32	293354
33	293649
34	287268
35	297376
36	296351
37	293859
38	291178
39	293687
40	292762
41	292102
42	293994
43	295326
44	295410
45	293867
46	281536
47	293405
48	293525
49	294437
50	287334
51	290866
52	293096
53	294193
54	295438
55	294424
56	289449
57	292806
58	292303
59	290101
60	292983
61	292981
62	291910
63	290018
64	287861
65	293595
66	295424
67	291851
68	294620
69	295494
70	293933
71	295149
72	294240
73	293500
74	293095
75	293367
76	292541
77	294392
78	296441
79	296497
80	293769
81	293653
82	291629
83	294827
84	293175
85	290666
86	291999
87	293668
88	295083
89	292955
90	292588
91	293483
92	294856
93	293329
94	291030
95	295417
96	293956
97	295202
98	292897
99	290522
100	291579
101	295170
102	297568
103	296188
104	296800
105	293041
106	295184
107	293257
108	293598
109	293278
110	290636
111	291896
112	295189
113	292478
114	293982
115	295337
116	294055
117	294750
118	294799
119	293949
120	295184
121	295145
122	295812
123	292981
124	294410
125	292114
126	290714
127	290388
128	293626
129	283389
130	293781
131	295222
132	293448
133	291198
134	294964
135	296391
136	294188
137	293384
138	293378
139	294081
140	295924
141	291729
142	293700
143	295421
144	293383
145	294272
146	292364
147	293991
148	294037
149	294146
150	291986
151	292353
152	296081
153	295102
154	293424
155	294316
156	294151
157	290175
158	292370
159	293352
160	292354
161	292790
162	296271
163	289364
164	291269
165	296236
166	296223
167	295451
168	294757
169	293517
170	295089
171	295051
172	291355
173	294214
174	293591
175	294319
176	294107
177	293882
178	292418
179	292359
180	293952
181	290762
182	292609
183	292884
184	294863
185	293019
186	294829
187	293629
188	293654
189	293640
190	293307
191	291765
192	290749
193	291919
194	291809
195	293216
196	291828
197	291185
198	293818
199	290973
200	293660
201	291216
202	293886
203	291790
204	293306
205	295425
206	291964
207	294054
208	289545
209	291845
210	291915
211	290690
212	291427
213	294963
214	291701
215	289804
216	292120
217	293644
218	289041
219	296841
220	294161
221	292122
222	292938
223	292214
224	295307
225	293263
226	292646
227	295498
228	294216
229	282109
230	291519
231	292725
232	296566
233	293024
234	297197
235	294942
236	293409
237	295185
238	294773
239	295099
240	291982
241	293896
242	294366
243	295760
244	291734
245	294353
246	294032
247	292742
248	285048
249	293690
250	294770
251	294057
252	291075
253	293386
254	288051
255	290484
256	293256
257	293106
258	292155
259	292742
260	292455
261	294554
262	293609
263	291856
264	294096
265	293480
266	290932
267	292558
268	291876
269	295337
270	292730
271	295547
272	295708
273	290231
274	292896
275	294571
276	290521
277	292234
278	290856
279	295060
280	293362
281	292408
282	294303
283	292874
284	296217
285	294578
286	292373
287	294590
288	292184
289	293429
290	295174
291	293527
292	296177
293	287433
294	291959
295	293999
296	291609
297	295009
298	292330
299	289699
300	294360
301	296626
302	290608
